ā kā piàn	阿咖片
ān kūn piàn	安坤片
ān lè piàn	安樂片
ān nǎo piàn	安腦片
bì xīn piàn	痹欣片
chái huáng piàn	柴黃片
cháo ān piàn	潮安片
cí háng piàn	慈航片
dǎn huáng piàn	膽黃片
dǎn kāng piàn	膽康片
dān lóu piàn	丹蔞片
dān qī piàn	丹七片
dān shēn piàn	丹參片
dàng shí piàn	蕩石片
diào zhī piàn	調脂片
fèi níng piàn	肺寧片
fēn kā piàn	酚咖片
fù liáng piàn	婦良片
fù míng piàn	復明片
fù xīn piàn	復心片
gān sū piàn	肝蘇片
gǔ tài piàn	骨肽片
gù yuán piàn	固元片
hé dān piàn	荷丹片
hóng yào piàn	紅藥片
hù gān piàn	護肝片
huā hóng piàn	花紅片
huà zhì piàn	化痔片
huáng gēn piàn	黃根片
huáng qín piàn	黃芩片
jī gān piàn	肌苷片
jiàn yáng piàn	健陽片
jiē gǔ piàn	接骨片
jīn dǎn piàn	金膽片
jīn hóng piàn	金紅片
jǐng tòng piàn	頸痛片
kuí liú píng	喹硫平
kuí ní dīng	奎尼丁
kuí nuò tóng	喹諾酮
lì bí piàn	利鼻片
lì fèi piàn	利肺片
lì gān piàn	利肝片
lǐ zhōng piàn	理中片
lóng qīng piàn	癃清片
mǎ lín guā	嗎啉胍
mài píng piàn	脈平片
mài zhī líng	邁之靈
nǎo ān piàn	腦安片
nǚ jīn piàn	女金片
píng xiāo piàn	平消片
qiáng gān piàn	強肝片
qiáng shèn piàn	強腎片
qīng gān piàn	清肝片
qīng guǒ piàn	青果片
qīng huǒ piàn	清火片
qīng jiàng piàn	清降片
qīng jiě piàn	清解片
rǔ kāng piàn	乳康片
rǔ níng piàn	乳寧片
sān huáng piàn	三黃片
sān jīn piàn	三金片
shèn gǔ piàn	腎骨片
shēn qí piàn	參芪片
shèn yán piàn	腎炎片
shēng mài piàn	生脈片
shēng rǔ piàn	生乳片
shū dǎn piàn	舒膽片
shū mián piàn	舒眠片
shū xiōng piàn	舒胸片
shuāng dān piàn	雙丹片
sì shén piàn	四神片
tiào gǔ piàn	跳骨片
tōng bì piàn	通痹片
tóng kāng piàn	童康片
wǔ zhǐ piàn	五酯片
xiān chán piàn	仙蟾片
xiāng jú piàn	香菊片
xiāo hé piàn	消核片
xiāo méng piàn	消朦片
xiāo yán piàn	消炎片
xiāo yín piàn	消銀片
xīn qín piàn	辛芩片
xīn xuě piàn	新雪片
xuè níng piàn	血寧片
xuè píng piàn	血平片
yán níng piàn	炎寧片
yān yán piàn	咽炎片
yì dǎn piàn	益膽片
yín huáng piàn	銀黃片
yín mì piàn	銀密片
yín mì piàn	銀蜜片
zhèn yuán piàn	振源片
zhì chuāng piàn	痔瘡片
zhì dài piàn	治帶片
zhì kāng piàn	痔康片
zhuàng xuè piàn	壯血片
ān luò tòng piàn	安絡痛片
ào dàn píng piàn	奧氮平片
ào xiāo zuò piàn	奧硝唑片
bái pú huáng piàn	白蒲黃片
bǎo tāi líng piàn	保胎靈片
bǎo tài sōng piàn	保泰松片
bí shū shì piàn	鼻舒適片
bí yān líng piàn	鼻咽靈片
bù luò fēn piàn	布洛芬片
bǔ shèn níng piàn	補腎寧片
cáng yīn chén piàn	藏茵陳片
cháng duō táng piàn	腸多醣片
cháng wèi níng piàn	腸胃寧片
chuān xīn lián piàn	穿心蓮片
cì wǔ jiā piàn	刺五加片
dēng tái yè piàn	燈台葉片
dì fǎ míng piàn	遞法明片
dì jǐn cǎo piàn	地錦草片
dōng bái méi piàn	冬白梅片
duàn xuè liú piàn	斷血流片
fèn nǎi jìng piàn	奮乃靜片
fù gān níng piàn	複肝寧片
fù kāng níng piàn	婦康寧片
fú kāng zuò piàn	氟康唑片
fù shèn níng piàn	復腎寧片
fù wèi sàn piàn	複胃散片
fù yán kāng piàn	婦炎康片
gān děi zhì piàn	肝得治片
gān fù lè piàn	肝復樂片
gān jiā xīn piàn	肝加欣片
gān kāng níng piàn	肝康寧片
gǎn mào líng piàn	感冒靈片
gǎn mào qīng piàn	感冒清片
gān táng zhǐ piàn	甘糖酯片
gān wéi kāng piàn	肝維康片
gān xǐ lè piàn	肝喜樂片
gēn tòng píng piàn	根痛平片
gèng nián ān piàn	更年安片
gèng nián lè piàn	更年樂片
gǔ cì níng piàn	骨刺寧片
gǔ jīn wán piàn	骨筋丸片
gǔ yán líng piàn	骨炎靈片
guān mài níng piàn	冠脈寧片
guān xīn tōng piàn	冠心通片
guò gǎng lóng piàn	過崗龍片
hóu jí líng piàn	喉疾靈片
hóu shū níng piàn	喉舒寧片
hóu tòng líng piàn	喉痛靈片
hóu tóu jūn piàn	猴頭菌片
hù gān níng piàn	護肝寧片
huà zhì líng piàn	化痔靈片
huáng téng sù piàn	黃藤素片
huáng yáng níng piàn	黃楊寧片
huó lì yuán piàn	活力源片
jiǎ gǔ àn piàn	甲鈷胺片
jiǎ zhuàng xiàn piàn	甲狀腺片
jiàn nǎo líng piàn	健腦靈片
jīn lián huā piàn	金蓮花片
jīn qiáo mài piàn	金蕎麥片
kàng bìng dú piàn	抗病毒片
kàng gōng yán piàn	抗宮炎片
ké chuǎn shū piàn	咳喘舒片
kǔ shēn sù piàn	苦參素片
kūn fù kāng piàn	坤復康片
lái qǔ zuò piàn	來曲唑片
le gē wáng piàn	了哥王片
lì gān kāng piàn	利肝康片
lì gān lóng piàn	利肝隆片
lì kě jūn piàn	利可君片
lì nǎo xīn piàn	利腦心片
lóng bì shū piàn	癃閉舒片
lóng fèng bǎo piàn	龍鳳寶片
luǎn lín zhī piàn	卵磷脂片
mǎ lín guā piàn	嗎啉胍片
mài luò tōng piàn	脈絡通片
mǐ dàn píng piàn	米氮平片
nǎo dé shēng piàn	腦得生片
nǎo líng sù piàn	腦靈素片
nǎo xīn qīng piàn	腦心清片
nǎo xuè kāng piàn	腦血康片
nǎo xuè shuān piàn	腦血栓片
niào lù tōng piàn	尿路通片
niào sāi tōng piàn	尿塞通片
pà gē sī piàn	帕歌斯片
pán lóng qī piàn	盤龍七片
pén yán jìng piàn	盆炎淨片
pǔ lè ān piàn	普樂安片
pǔ lǔ tuō chún	普魯托醇
pǔ lún sī tè	普侖司特
pǔ luò bì dá	普洛必達
pǔ luó bù kǎo	普羅布考
pǔ luó bù kě	普羅布可
pǔ luó cí xī	普羅雌烯
pǔ luó diǎn ǎn	普羅碘銨
pǔ luó fēn àn	普羅吩胺
pǔ luó gēng qín	普羅庚嗪
pǔ luó ma zhǐ	普羅嗎酯
pǔ luò nài ěr	普洛萘爾
pǔ luó pà tóng	普羅帕酮
pǔ luó sī tài	普羅司泰
pǔ luó tì lín	普羅替林
pǔ luó tuō chún	普羅托醇
pǔ luó xīn xī	普羅新希
pǔ měi lā tài	普美拉泰
pǔ shì tài piàn	普適泰片
qīng kāi líng piàn	清開靈片
qīng méi àn piàn	青黴胺片
rè lín qīng piàn	熱淋清片
rén shēn gān cǎo	人參甘草
rén tāi pán piàn	人胎盤片
rǔ zēng níng piàn	乳增寧片
shàn cún yín piàn	善存銀片
shèn kāng níng piàn	腎康寧片
shèn shuāi níng piàn	腎衰寧片
shèn yán shū piàn	腎炎舒片
shēng xuè níng piàn	生血寧片
shuāng huáng lián piàn	雙黃連片
sī pà shā xīng	司帕沙星
tì xiāo zuò piàn	替硝唑片
tuō bǐ zhǐ piàn	托吡酯片
tuō kǎ péng piàn	托卡朋片
wèi fù chūn piàn	胃復春片
wèi lì kāng piàn	胃立康片
wéi méi sù piàn	維酶素片
wèi téng níng piàn	胃疼寧片
wèi tòng níng piàn	胃痛寧片
wèi wǎn shū piàn	胃脘舒片
xiān líng pí piàn	仙靈脾片
xiāo ái píng piàn	消癌平片
xiāo ké chuǎn piàn	消咳喘片
xiāo kě líng piàn	消渴靈片
xiāo kě píng piàn	消渴平片
xiāo luò tòng piàn	消絡痛片
xīn dá kāng piàn	心達康片
xīn lǜ níng piàn	心律寧片
xīn mài tōng piàn	心脈通片
xīn nǎo jìng piàn	心腦靜片
xīn shén níng piàn	心神寧片
xīn shēng huà piàn	新生化片
xīn wú yōu piàn	心無憂片
xīn xuè níng piàn	心血寧片
xuàn yùn níng piàn	眩暈寧片
xuè fù shēng piàn	血復生片
xuè mài qīng piàn	血脈清片
xuè měi ān piàn	血美安片
xuè sāi tōng piàn	血塞通片
yán kě níng piàn	炎可寧片
yán lì jìng piàn	炎痢淨片
yán lì xiāo piàn	炎立消片
