ā wèi	阿魏
ā wén	阿蚊
ài é	艾蛾
āi gē	哀鸽
ǎi lú	矮鲈
ǎi měng	矮獴
ǎi táng	矮螳
ài zhū	艾蛛
ān chún	鹌鹑
ān jué	安蕨
ān kāng	𩽾𩾌
ān lóng	鞍龙
àn wén	按蚊
àn zhū	暗蛛
ào bī	澳鵖
ào guī	澳龟
ào jiāng	澳鳉
ào tíng	澳蜓
áo xiā	螯虾
ào yáng	澳杨
bā bǎo	八宝
bā chán	巴蟾
bā dòu	巴豆
bā gē	八哥
bā jiān	巴鲣
bā jiāo	芭蕉
bā ní	巴鲵
bá qiā	菝葜
bā wàn	八腕
bà wáng	霸王
bà wēng	霸鹟
bái chāng	白鲳
bái cì	白刺
bái é	白蛾
bái hān	白蚶
bǎi hé	百合
bái huán	白鹮
bái jí	白及
bái jīng	白鲸
bǎi líng	百灵
bái líng	白蛉
bái lù	白鹭
bái má	白麻
bái mó	白蘑
bǎi mù	柏木
bái xī	白犀
bái xiǎn	白藓
bái xún	白鲟
bǎi yá	柏蚜
bái yín	白银
bái zhāng	白樟
bān biē	斑鳖
bàn cháng	半鲿
bàn chì	半翅
bān fú	斑蝠
bān héng	斑鸻
bān jiū	斑鸠
bǎn lán	板蓝
bān líng	斑羚
bān lóng	斑龙
bān méng	斑虻
bàn nián	半鲇
bān píng	斑鲆
bān què	斑雀
bān shā	斑鲨
bān wén	斑蚊
bǎn xī	板蜥
bàn xià	半夏
bǎn xiè	板蟹
bàn xióng	半熊
bàn yì	半鮨
bǎn zǎo	板藻
bàng wèi	棒鳚
bàng zǎo	棒蚤
báo jiǎ	薄甲
bāo lí	苞藜
bào lóng	暴龙
bào luó	鲍螺
bǎo luó	宝螺
bāo máo	苞茅
bào zhì	暴蛭
bèi jiǎ	背甲
bèi jú	被菊
bèi mǔ	贝母
běi ní	北鲵
běi qiū	北鳅
bèi sāi	被鳃
bēi sǎn	杯伞
běi wèi	北鳚
bēi xiàn	杯苋
bēi zhí	杯殖
bèn huáng	笨蝗
bēn lóng	奔龙
bēn zhū	奔蛛
bèng huáng	蹦蝗
bì hǔ	壁虎
bí lóng	鼻龙
bǐ luó	笔螺
bì má	蓖麻
bì qián	壁钱
bǐ shí	笔石
bì yíng	碧蝇
bí yíng	鼻蝇
bí yú	鼻鱼
bì yú	躄鱼
bí zhì	鼻蛭
biǎn chóng	扁虫
biān chūn	鞭蝽
biǎn cōng	扁蟌
biǎn dòu	藊豆
biǎn dòu	扁豆
biān fú	蝙蝠
biǎn jiǎ	扁甲
biàn kǒu	变口
biǎn lěi	扁蕾
biǎn luó	扁螺
biān nián	鞭鲶
biǎn quán	扁蜷
biǎn shā	扁莎
biān shé	鞭蛇
biǎn wō	扁蜗
biǎn xiā	扁虾
biǎn xiè	扁蟹
biǎn xù	萹蓄
biāo cǎo	藨草
biāo há	杓蛤
biāo lán	杓兰
biāo lú	镖鲈
biē lián	鳖蠊
bīn chūn	滨蝽
bīn lí	滨藜
bīn shǔ	滨鼠
bīn yù	滨鹬
bīng láng	槟榔
bīng nián	兵鲶
bǐng yǎn	柄眼
bō cài	菠菜
bō luó	菠萝
bó yú	搏鱼
bó zhū	博蛛
bù jiǎ	步甲
cǎi chán	彩蝉
cài dòu	菜豆
cài é	菜蛾
cǎi guī	彩龟
cǎi huā	彩花
cài jì	菜蓟
cài jué	菜蕨
cǎi yù	彩鹬
cài zōng	菜棕
cán dòu	蚕豆
cán é	蚕蛾
cáng dòu	藏豆
cáng jì	藏荠
cáng jiè	藏芥
cāng xiāo	仓鸮
cáo chǐ	槽齿
cǎo jiāng	草鳉
cǎo lú	草芦
cǎo méi	草莓
cǎo méi	草鹛
cǎo míng	草螟
cǎo shǔ	草鼠
cāo sū	糙苏
cǎo wú	草鹀
cǎo yàn	草雁
cǎo yú	草鱼
cè ěr	侧耳
cè qiāng	侧腔
chā jué	叉蕨
chā lóng	叉龙
chá mù	檫木
chán chú	蟾蜍
chǎn xún	铲鲟
chán yú	蟾鱼
chàn zǎo	颤藻
cháng bà	长鲌
cháng bí	长鼻
cháng chì	长翅
cháng lú	长鲈
chāng pú	菖蒲
cháng shān	常山
cháng yá	常蚜
cháng yú	鲿鱼
cháo dōng	嘲鸫
cháo guī	潮龟
cháo míng	巢螟
cháo shǔ	巢鼠
cháo zhū	潮蛛
chē qián	车前
chén há	忱蛤
chén mǎn	尘螨
chén xiāng	沉香
chēng bàng	蛏蚌
chēng liǔ	柽柳
chéng sāng	橙桑
chēng tóng	赪桐
chéng yī	橙衣
chì bó	赤瓟
chì cái	赤才
chǐ chūn	尺蝽
chì diāo	赤鲷
chǐ é	尺蛾
chì há	翅蛤
chì hóu	赤猴
chǐ jiǎ	豉甲
chí lóng	驰龙
chí lù	池鹭
chí màn	匙鳗
chì méi	赤霉
chǐ táng	齿螳
chì wā	赤蛙
chì xiā	赤虾
chī xiāo	鸱鸮
chì yáng	赤杨
chì yì	赤鮨
chì zǎo	翅藻
chóng dié	虫鲽
chóng lóu	重楼
chóng méi	虫霉
chóng shí	虫实
chòu chóng	臭虫
chòu chūn	臭椿
chòu chūn	臭蝽
chóu lǐ	稠李
chòu měng	臭獴
chòu qú	臭鼩
chòu sōng	臭松
chòu wā	臭蛙
chǒu yā	丑鸭
chòu yòu	臭鼬
chú há	雏蛤
chú huáng	雏蝗
chú jú	雏菊
chuán shāo	船蛸
chuāng yù	窗玉
chuí diāo	椎鲷
chún cài	莼菜
chún jiū	鹑鸠
chún kǒu	唇口
chún líng	唇鲮
chún luó	鹑螺
chún shēn	唇鲹
chūn xiàng	椿象
chún xíng	唇形
chún zhū	纯蛛
cì bà	刺鲅
cì chāng	刺鲳
cì gāo	次睾
cì gōu	刺钩
cí gū	茨菰
cí luó	瓷螺
cì qín	刺芹
cì qiū	刺鳅
cì shā	刺鲨
cì sǒng	刺楤
cì tóng	刺桐
cì wei	刺猬
cí xiè	瓷蟹
cì yì	刺鮨
cì yú	刺鱼
cì yù	刺芋
cí zǎo	茨藻
cì zuǐ	刺嘴
cóng fú	丛菔
cōng lián	葱莲
cóng wā	丛蛙
cóng yā	丛鸦
cóng yīng	丛莺
cū fěi	粗榧
cuàn niǎo	窜鸟
cuì bǎi	翠柏
cuì jú	翠菊
cuì méi	翠梅
cuì niǎo	翠鸟
cuì tíng	翠蜓
cuì zhū	翠蛛
cuò shé	锉蛇
cuó táng	矬螳
dà bǎo	大鸨
