hóng huà	紅話
gōu liú	勾留
guā dā	呱嗒
xǐ rén	喜人
gè nào	各鬧
shī xiào	失笑
jǐn bā	緊巴
yíng shēng	營生
nà xīn	吶心
nòu nà xīn	耨吶心
bú jì míng	不記明
piàn ne wa	片呢哇
hú jué	胡嚼
xián zhī	嫌吱
gè jiū	各揪
gē tā	疙塌
cuō zhe	磋着
róng gá	溶噶
nǎi xīn	乃心
gá qiè	噶切
qiè ba	切吧
gè lè er	各樂兒
shān gè lā	山各拉
gǔn lüè	滾略
niào xīng	尿興
lèng qiú gá	愣求噶
chéng sè	成色
gè pào	各泡
yù jiāo	玉茭
nà gāo	那糕
wāng wāng	汪汪
kuǐ lěi	傀儡
hé lào	合烙
zhuā qià	抓恰
gē jiū	圪揪
guǎ qì	寡氣
tā guō le	塌鍋了
zǎ dǐ	咋底
shèn me lǎo guò	甚麼老過
gē cù dǎ dàn	圪促打蛋
bī dōu	逼兜
nài xīn	耐心
zhōu gē	周割
gài wò	蓋握
néng dài	能帶
bēng lóu	崩樓
pū dēng niú zi	撲燈牛子
hēi léng ér	黑楞兒
gǎng gǎng	崗崗
zǐ bèi	子背
hú zi	鬍子
jié ké zǐ	結殼子
gè quān er tóu	個圈兒頭
gè shēng ér	個生兒
dōu ér	兜兒
bú dài zǐ	不逮子
bú dài ér	不逮兒
gè nào	個鬧
jiā bā qiǎo ér	家巴巧兒
gǒu wá ér	狗娃兒
māo wá ér	貓娃兒
jī wá ér	雞娃兒
shǐ jiè	屎介
gè dū	個督
tiáo chū	條出
fāng zǔ huò	方祖貨
shōu shōu	收收
tiě qiān	鐵千
tè lā bǎn er	特拉板兒
hēi lǎng zǐ	黑朗子
mò pō	莫坡
yǎn zhā máo	眼扎毛
gè bài	個拜
gè lào zhǐ wō ér	個澇指窩兒
liū tiān	溜天
bǎi liě	擺咧
pá cháng	爬長
děng dāng	等當
bú là	不辣
tái guō	抬郭
chù bú xià qǐ	處不下起
gè duì	個對
chàn dá	顫達
hū chàn	忽顫
diāo duó	叼奪
wù lüè	勿略
chuō guǐ	戳鬼
chuō lóu zǐ	戳樓子
dìng měi	定每
dǎo nián	導年
niē biǎn	捏扁
tān huò	攤霍
hū diān	忽顛
gè tǎ	個塔
gè jué	個嚼
rú jié	如節
rào jié	繞節
hū dǒu	忽抖
dǒu dá	抖達
gè jiū	個糾
wō quē	窩缺
shí fān	十翻
jiào hū	叫忽
zhé léng	折楞
níng mí	寧迷
lǎo sè	老色
lǎo guō	老郭
chǒu niàn	醜念
hǔ cā	虎擦
zhà huò	炸霍
hū zhà	忽炸
gè chōu	個抽
jiū jué	揪決
hū shā	忽沙
niào xī	尿西
guā dá	瓜達
lǚ hū	旅忽
gè rào	個繞
