ā wèi	阿魏
ā wén	阿蚊
ài é	艾蛾
āi gē	哀鴿
āi huáng	埃蝗
ǎi lú	矮鱸
ài má	艾麻
ǎi měng	矮獴
ǎi táng	矮螳
ài yá	艾蚜
ài zhū	艾蛛
ān cán	桉蠶
àn chán	暗蟬
ān chún	鵪鶉
àn fēng	暗蜂
ān jué	安蕨
ān kāng	鮟鱇
ān lóng	鞍龍
àn luó	暗羅
àn wén	按蚊
àn zhū	暗蛛
ào bī	澳鵖
áo fēng	螯蜂
ào guī	澳龜
ào jiāng	澳鱂
ào lú	澳鱸
āo luó	凹螺
ào shé	澳蛇
ào táng	澳螳
ào tíng	澳蜓
ào xī	奧蟋
áo xiā	螯蝦
áo xiā	鰲蝦
ào xuě	澳鱈
ào yā	澳鴉
ào yáng	澳楊
bā bǎo	八寶
bā chán	巴蟾
bā dòu	巴豆
bā gē	八哥
bā jiān	巴鰹
bā jiāo	芭蕉
bā jiǎo	八角
bā ní	巴鯢
bá qiā	菝葜
bā wàn	八腕
bà wáng	霸王
bà wēng	霸鶲
bǎi bù	百部
bái chāng	白鯧
bái cì	白刺
bái é	白蛾
bái guī	白鮭
bái guì	白鱥
bái hān	白蚶
bǎi hé	百合
bái huán	白䴉
bái jī	白芨
bái jí	白及
bài jiàng	敗醬
bái jiè	白芥
bái jīng	白鯨
bài lā	拜拉
bǎi líng	百靈
bái líng	白蛉
bái lù	白鷺
bái má	白麻
bái máo	白茅
bái mó	白蘑
bǎi mù	柏木
bái qián	白前
bái shù	白樹
bǎi táng	擺螳
bái xī	白犀
bái xiā	白蝦
bái xiān	白鮮
bái xiǎn	白蘚
bái xún	白鱘
bǎi yá	柏蚜
bái yǐ	白蟻
bái yín	白銀
bái yú	白魚
bái zhāng	白樟
bān biē	斑鱉
bàn cháng	半鱨
bàn chì	半翅
bān cōng	斑蟌
bān dié	斑蝶
bān é	斑蛾
bān fú	斑蝠
bān héng	斑鴴
bān jiū	斑鳩
bǎn lán	板藍
bān lián	斑蠊
bān líng	斑羚
bān lóng	斑龍
bǎn lóng	板龍
bān méng	斑虻
bàn nián	半鮎
bān píng	斑鮃
bān què	斑雀
bān shā	斑鯊
bān shǔ	斑鼠
bān wén	斑蚊
bǎn xī	板蜥
bàn xià	半夏
bǎn xiè	板蟹
bàn xióng	半熊
bān yá	斑蚜
bàn yì	半鮨
bǎn zǎo	板藻
bān zhū	斑蛛
bān zǐ	斑籽
bàng bāo	棒孢
bàng kē	棒柯
bàng wèi	棒䲁
bàng zǎo	棒蚤
bào cháng	豹鱨
bào guī	豹龜
báo jiǎ	薄甲
bāo lí	苞藜
bào lóng	暴龍
bào luó	鮑螺
bǎo luó	寶螺
bāo máo	苞茅
bào māo	豹貓
báo qiū	薄鰍
bào tǎ	豹鰨
bào wèi	豹䲁
bāo yī	苞衣
bào zhì	暴蛭
báo zhú	薄竹
bào zhū	豹蛛
běi guī	北鮭
bèi jiǎ	背甲
bèi jú	被菊
bēi jú	杯菊
bèi mǔ	貝母
běi ní	北鯢
běi qiū	北鰍
bèi sāi	被鰓
bēi sǎn	杯傘
bèi shāo	倍蛸
bèi sī	貝斯
běi wèi	北䲁
bēi xiàn	杯莧
běi xuě	北鱈
bēi yè	杯葉
běi yóu	北魷
bēi zhí	杯殖
bèn huáng	笨蝗
bēn lóng	奔龍
bēn zhū	奔蛛
bèng huáng	蹦蝗
bì chán	碧蟬
bì fēng	壁蜂
bì hǔ	壁虎
bí huā	鼻花
bí lóng	鼻龍
bì lú	婢鱸
bǐ luó	筆螺
bì má	蓖麻
bí qi	荸薺
bì qián	壁錢
bǐ shí	筆石
bì xī	壁蜥
bì yì	避役
bì yíng	碧蠅
bí yíng	鼻蠅
bí yú	鼻魚
bì yú	躄魚
bí zhì	鼻蛭
biǎn bǎi	扁柏
biān chóng	鞭蟲
biǎn chóng	扁蟲
biǎn chūn	扁蝽
biān chūn	鞭蝽
biǎn cōng	扁蟌
biǎn dòu	藊豆
biǎn dòu	扁豆
biān é	蝙蛾
biǎn fēng	扁蜂
biǎn fú	扁蜉
biān fú	蝙蝠
biǎn guī	扁龜
biǎn jiǎ	扁甲
biǎn jiāng	扁鱂
biàn kǒu	變口
biǎn lěi	扁蕾
biǎn luó	扁螺
biān nián	鞭鯰
biǎn quán	扁蜷
biǎn shā	扁鯊
biǎn shā	扁莎
biān shé	鞭蛇
biǎn shēn	扁鰺
biān téng	鞭藤
biǎn wō	扁蝸
biǎn xī	扁蜥
biǎn xiā	扁蝦
biǎn xiè	扁蟹
biān xiē	鞭蠍
biǎn xù	萹蓄
biǎn yá	扁蚜
biǎn yíng	扁螢
biān yóu	鞭魷
biàn yú	辮魚
biāo cǎo	藨草
biāo há	杓蛤
biāo lán	杓蘭
biāo lú	鏢鱸
biāo yù	杓鷸
biē lián	鱉蠊
bīn chūn	濱蝽
bīn jú	濱菊
bīn lí	濱藜
bīn luó	濱螺
bīn shǔ	濱鼠
bīn xiè	濱蟹
bīn yù	濱鷸
bīn zǎo	濱棗
bīng cǎo	冰草
bīng dòu	兵豆
bīng láng	檳榔
bīng nián	兵鯰
bǐng yǎn	柄眼
bīng yú	冰魚
bó ā	博阿
bō cài	菠菜
bò he	薄荷
bó láo	伯勞
bō luó	菠蘿
bǒ xī	跛蜥
bō yú	波魚
bó yú	搏魚
bó zhū	博蛛
bù jiǎ	步甲
bù jīng	步鯨
cǎi chán	彩蟬
cài dòu	菜豆
cài é	菜蛾
cǎi fú	彩蝠
cǎi guī	彩龜
cǎi huā	彩花
cǎi huán	彩䴉
cài jì	菜薊
cài jué	菜蕨
cǎi què	彩雀
cǎi wú	彩鵐
cǎi yíng	彩蠅
cǎi yù	彩鷸
cǎi zhì	彩雉
cài zōng	菜棕
cán dòu	蠶豆
cán é	蠶蛾
cáng dòu	藏豆
cāng ěr	蒼耳
cáng guā	藏瓜
cáng jì	藏薺
cáng jiè	藏芥
cáng jú	藏菊
cáng lǎn	藏欖
cāng lóng	滄龍
cāng lù	蒼鷺
cāng shǔ	倉鼠
cāng xiāo	倉鴞
cāng zhú	蒼朮
cāo cǎo	糙草
cáo chǐ	槽齒
cǎo guī	草龜
cǎo guǒ	草果
cǎo jiāng	草鱂
cǎo líng	草蛉
cǎo lú	草蘆
cǎo méi	草莓
cǎo méi	草鶥
cǎo mián	草棉
cǎo míng	草螟
cǎo shǔ	草鼠
cāo sū	糙蘇
cǎo wú	草鵐
