ā kā piàn	阿咖片
ài mǎn xīn	艾满欣
ān kūn piàn	安坤片
ān lè piàn	安乐片
ān nǎo piàn	安脑片
bì xīn piàn	痹欣片
biǎo fēi míng	表飞鸣
chái huáng piàn	柴黄片
cháo ān piàn	潮安片
cí háng piàn	慈航片
dǎn huáng piàn	胆黄片
dǎn kāng piàn	胆康片
dān lóu piàn	丹蒌片
dān qī piàn	丹七片
dān shēn piàn	丹参片
dàng shí piàn	荡石片
diào zhī piàn	调脂片
fèi níng piàn	肺宁片
fēn kā piàn	酚咖片
fù ān xīn	妇安欣
fù liáng piàn	妇良片
fù míng piàn	复明片
fù xīn piàn	复心片
gān sū piàn	肝苏片
gǔ tài piàn	骨肽片
gù yuán piàn	固元片
hé dān piàn	荷丹片
hóng yào piàn	红药片
hù gān piàn	护肝片
huā hóng piàn	花红片
huà zhì piàn	化痔片
huáng gēn piàn	黄根片
huáng qín piàn	黄芩片
jī gān piàn	肌苷片
jiàn yáng piàn	健阳片
jiē gǔ piàn	接骨片
jīn dǎn piàn	金胆片
jīn hóng piàn	金红片
jǐng tòng piàn	颈痛片
kuí liú píng	喹硫平
kuí ní dīng	奎尼丁
kuí nuò tóng	喹诺酮
lì bí piàn	利鼻片
lì fèi piàn	利肺片
lì gān piàn	利肝片
lǐ zhōng piàn	理中片
lóng qīng piàn	癃清片
mǎ lín guā	吗啉胍
mài píng piàn	脉平片
mài zhī líng	迈之灵
nǎo ān piàn	脑安片
nǚ jīn piàn	女金片
píng xiāo piàn	平消片
qiáng gān piàn	强肝片
qiáng shèn piàn	强肾片
qīng gān piàn	清肝片
qīng guǒ piàn	青果片
qīng huǒ piàn	清火片
qīng jiàng piàn	清降片
qīng jiě piàn	清解片
rǔ kāng piàn	乳康片
rǔ níng piàn	乳宁片
sān huáng piàn	三黄片
sān jīn piàn	三金片
shèn gǔ piàn	肾骨片
shēn qí piàn	参芪片
shèn yán piàn	肾炎片
shēng mài piàn	生脉片
shēng rǔ piàn	生乳片
shū dǎn piàn	舒胆片
shū mián piàn	舒眠片
shū xiōng piàn	舒胸片
shuāng dān piàn	双丹片
sì shén piàn	四神片
tiào gǔ piàn	跳骨片
tōng bì piàn	通痹片
tóng kāng piàn	童康片
wǔ zhǐ piàn	五酯片
xiān chán piàn	仙蟾片
xiāng jú piàn	香菊片
xiāo hé piàn	消核片
xiāo méng piàn	消朦片
xiāo yán piàn	消炎片
xiāo yín piàn	消银片
xīn qín piàn	辛芩片
xīn xuě piàn	新雪片
xuè níng piàn	血宁片
xuè píng piàn	血平片
yán níng piàn	炎宁片
yān yán piàn	咽炎片
yì dǎn piàn	益胆片
yín huáng piàn	银黄片
yín mì piàn	银密片
yín mì piàn	银蜜片
zhèn yuán piàn	振源片
zhì chuāng piàn	痔疮片
zhì dài piàn	治带片
zhì kāng piàn	痔康片
zhuàng xuè piàn	壮血片
ā bèi xī lì	阿贝西利
ā bǐ tè lóng	阿比特龙
ā fǎ tì ní	阿法替尼
ā fá tì ní	阿伐替尼
ā jī lún sài	阿基仑赛
ā kě tì ní	阿可替尼
ā lái tì ní	阿来替尼
ā měi tì ní	阿美替尼
ā pà tā àn	阿帕他胺
ā pà tì ní	阿帕替尼
ā sī ní bù	阿思尼布
ā xī tì ní	阿昔替尼
ài fú ní bù	艾伏尼布
āi kè tì ní	埃克替尼
āi pǔ nài míng	埃普奈明
ān luó tì ní	安罗替尼
ān luò tòng piàn	安络痛片
ān xīn fú níng	安欣福宁
ào bù tì ní	奥布替尼
ào dàn píng piàn	奥氮平片
ào lā pà lì	奥拉帕利
ào xī tì ní	奥希替尼
ào xiāo zuò piàn	奥硝唑片
bǎi bǎi chá jì	百柏搽剂
bái pú huáng piàn	白蒲黄片
