ā yóu qiān	錒鈾鉛
ā yóu xì	錒鈾系
ān jī rú	氨基銣
ān jī sè	氨基銫
ān jī yīn	氨基銦
ān mián tóng	安眠酮
bái pī shí	白鈹石
bái shēn shí	白砷石
bái tī kuàng	白銻礦
bái wū kuàng	白鎢礦
bèi bō li	鋇玻璃
bèi cháng shí	鋇長石
bèi dān zhì	鋇單質
bèi è shí	鋇堊石
bèi fèi shí	鋇沸石
bèi guàn cháng	鋇灌腸
bèi jiě shí	鋇解石
bèi lí zǐ	鋇離子
bèi xiāo shí	鋇硝石
bèi yuán sù	鋇元素
bèi yuán zǐ	鋇原子
běn bǐng àn	苯丙胺
běn péng suān	苯硼酸
běn wù chún	苯芴醇
běn wǔ fēn	苯五酚
běn wù tóng	苯戊酮
běn wù tóng	苯芴酮
běn xī fēn	苯硒酚
běn xì wù	苯系物
běn xiān àn	苯酰胺
běn xiàn lín	苯線磷
běn xiān lǜ	苯酰氯
běn yǎng jī	苯氧基
běn yǎng wēi	苯氧威
běn yǐ àn	苯乙胺
běn yǐ chún	苯乙醇
běn yǐ jīng	苯乙腈
běn yǐ jǐng	苯乙肼
běn yǐ mí	苯乙醚
běn yǐ quán	苯乙醛
běn yǐ quē	苯乙炔
běn yǐ suān	苯乙酸
běn yǐ tóng	苯乙酮
běn yǐ wán	苯乙烷
běn yǐ xī	苯乙烯
běn yǐ xiān	苯乙酰
běn yǐ zhǐ	苯乙酯
běn yìn àn	苯茚胺
běn zǐ hóng	苯紫紅
bì zá běn	鉍雜苯
biàn jī lǜ	苄基氯
biǎo lǜ chún	表氯醇
bìng bā běn	並八苯
bìng èr běn	並二苯
bǐng jī běn	丙基苯
bǐng jī lǜ	丙基氯
bìng liù běn	並六苯
bìng qī běn	並七苯
bǐng quē lǜ	丙炔氯
bìng sān běn	並三苯
bìng sì běn	並四苯
bǐng suān bèi	丙酸鋇
bǐng suān lǔ	丙酸鑥
bǐng suān sè	丙酸銫
bǐng suān shì	丙酸鈰
bǐng suān yì	丙酸鐿
bìng wǔ běn	並五苯
bǐng xī àn	丙烯胺
bǐng xī chún	丙烯醇
bǐng xī chún	丙硒醇
bǐng xī jīng	丙烯腈
bǐng xī quán	丙烯醛
bǐng xī suān	丙烯酸
bǐng xī tóng	丙烯酮
bǐng xiān àn	丙酰胺
bǐng xiān lǔ	丙酰滷
bǐng xiān lǜ	丙酰氯
bǐng xiān xiù	丙酰溴
bǐng xiù lín	丙溴磷
bó lǜ suān	鉑氯酸
cǎo suān bèi	草酸鋇
cǎo suān lǔ	草酸鑥
cǎo suān ní	草酸鈮
cǎo suān nǚ	草酸釹
cǎo suān pī	草酸鈹
cǎo suān pǒ	草酸鉕
cǎo suān pǔ	草酸鐠
cǎo suān rú	草酸銣
cǎo suān sè	草酸銫
cǎo suān shān	草酸釤
cǎo suān shì	草酸鈰
cǎo suān sī	草酸鍶
cǎo suān tè	草酸鋱
cǎo suān tǔ	草酸釷
cǎo suān yì	草酸鐿
cǎo suān yǐ	草酸釔
cǎo suān yīn	草酸銦
cǎo suān yǒu	草酸銪
cǎo xiān lǜ	草酰氯
chéng lǜ chún	成氯醇
cù suān bèi	醋酸鋇
cù suān nǚ	醋酸釹
cù suān pī	醋酸鈹
cù suān pǔ	醋酸鐠
cù suān sī	醋酸鍶
cù suān tā	醋酸鉈
cù suān tī	醋酸銻
cù suān tǔ	醋酸釷
cù suān yì	醋酸鐿
cù suān yīn	醋酸銦
cù suān yǒu	醋酸銪
dà běn huán	大苯環
dān dīng suān	單丁酸
dàn huà bèi	氮化鋇
dàn huà léi	氮化鐳
dàn huà lǐ	氮化鋰
dàn huà lín	氮化磷
dàn huà liú	氮化硫
dàn huà lǔ	氮化鑥
dàn huà lǚ	氮化鋁
dàn huà měi	氮化鎂
dàn huà měng	氮化錳
dàn huà nà	氮化鈉
dàn huà ní	氮化鈮
dàn huà nǚ	氮化釹
dàn huà péng	氮化硼
dàn huà pī	氮化鈹
dàn huà qīng	氮化氫
dàn huà sī	氮化鍶
dàn huà tài	氮化鈦
dàn huà tàn	氮化碳
dàn huà tī	氮化銻
dàn huà xī	氮化矽
dàn huà xiān	氮化氙
dàn huà xīn	氮化鋅
dàn huà yǐ	氮化釔
dàn huà yīn	氮化銦
dàn huà yín	氮化銀
dàn huà yóu	氮化鈾
dàn huà zhě	氮化鍺
dàn zá běn	氮雜苯
dāo dài běn	氘代苯
dì suān bèi	碲酸鋇
diǎn běn àn	碘苯胺
diǎn běn fēn	碘苯酚
diǎn běn jīng	碘苯腈
diǎn dài běn	碘代苯
diǎn huà bèi	碘化鋇
diǎn huà lǔ	碘化鑥
diǎn huà nǚ	碘化釹
diǎn huà pī	碘化鈹
diǎn huà pǒ	碘化鉕
diǎn huà pǔ	碘化鐠
diǎn huà rú	碘化銣
diǎn huà sè	碘化銫
diǎn huà shān	碘化釤
diǎn huà shēn	碘化砷
diǎn huà shì	碘化鈰
diǎn huà sī	碘化鍶
diǎn huà tā	碘化鉈
diǎn huà tǎn	碘化鉭
diǎn huà tè	碘化鋱
diǎn huà tǔ	碘化釷
diǎn huà wū	碘化鎢
diǎn huà yì	碘化鐿
diǎn huà yǐ	碘化釔
diǎn huà yīn	碘化銦
diǎn huà yǒu	碘化銪
diǎn huà zhě	碘化鍺
diǎn jiǎ běn	碘甲苯
